what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382626598396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382626611857
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382626613683
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382626613684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382626617387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382626620352
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382626632921
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382626632921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382626636301
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1382626705026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382626705291
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382626705341
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1382626705388
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1382626719891
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1382626747785
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1382626747844
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1382626747847
started,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1382626747847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382626773717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382626777760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382626930461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382627042581
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1382627056389
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382627056399
error,log,,,"The default variable is not iterable. Failed expression: \norg.eclipse.core.internal.expressions.IterateExpression@7ec146",1382627056399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382627064846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382627064962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382627064977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382627064997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382627064998
